frame_index,decode_kind,profile,payload_offset,vendor_id,product_id,usage_page,usage,source_report_id,payload_length,contact_index,raw_contact_id,assigned_contact_id,raw_flags,assigned_flags,raw_x,raw_y,decoded_x,decoded_y,slot_offset,slot_hex
42,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0xF0127200,0x00000007,0x07,0x07,16912,768,2442,2145,1,07007212F010420003
43,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0xF0127000,0x00000007,0x07,0x07,16400,768,2441,2145,1,07007012F010400003
44,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0xF0127200,0x00000007,0x07,0x07,15888,768,2442,2145,1,07007212F0103E0003
45,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0xF0127200,0x00000007,0x07,0x07,15888,768,2442,2145,1,07007212F0103E0003
46,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0xF2127200,0x00000007,0x07,0x07,15888,768,2442,2146,1,07007212F2103E0003
47,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0xF2127200,0x00000007,0x07,0x07,15376,768,2442,2146,1,07007212F2103C0003
48,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0xF2127400,0x00000007,0x07,0x07,14352,768,2443,2146,1,07007412F210380003
49,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0xF4127200,0x00000007,0x07,0x07,13840,768,2442,2147,1,07007212F410360003
50,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0xF4127400,0x00000007,0x07,0x07,13840,768,2443,2147,1,07007412F410360003
51,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0xF6127400,0x00000007,0x07,0x07,13328,768,2443,2148,1,07007412F610340003
52,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0xF6127200,0x00000007,0x07,0x07,13328,768,2442,2148,1,07007212F610340003
53,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0xF8127400,0x00000007,0x07,0x07,13328,768,2443,2149,1,07007412F810340003
54,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0xF8127400,0x00000007,0x07,0x07,13328,768,2443,2149,1,07007412F810340003
55,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0xF8127400,0x00000007,0x07,0x07,13328,768,2443,2149,1,07007412F810340003
