frame_index,decode_kind,profile,payload_offset,vendor_id,product_id,usage_page,usage,source_report_id,payload_length,contact_index,raw_contact_id,assigned_contact_id,raw_flags,assigned_flags,raw_x,raw_y,decoded_x,decoded_y,slot_offset,slot_hex
68,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,1,0x721B3600,0x00000001,0x03,0x03,10252,768,3602,1576,10,0300361B720C280003
69,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x94131200,0x00000000,0x01,0x03,18959,768,2525,1973,1,01001213940F4A0003
69,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,1,0x721B3600,0x00000001,0x03,0x03,10252,768,3602,1576,10,0300361B720C280003
70,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x94131200,0x00000000,0x01,0x03,18959,768,2525,1973,1,01001213940F4A0003
70,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,1,0x721B3600,0x00000001,0x03,0x03,10252,768,3602,1576,10,0300361B720C280003
71,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x94131200,0x00000000,0x01,0x03,18959,768,2525,1973,1,01001213940F4A0003
71,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,1,0x741B3600,0x00000001,0x03,0x03,10252,768,3602,1577,10,0300361B740C280003
72,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x94131200,0x00000000,0x01,0x03,18959,768,2525,1973,1,01001213940F4A0003
72,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,1,0x741B3600,0x00000001,0x03,0x03,10252,768,3602,1577,10,0300361B740C280003
73,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x94131200,0x00000000,0x01,0x03,18959,768,2525,1973,1,01001213940F4A0003
73,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,1,0x741B3600,0x00000001,0x03,0x03,10252,768,3602,1577,10,0300361B740C280003
